WKT,ID,ID_SHAPE,ID_PART,ID_POINT,CLOCKWISE,LAKE
"POINT (-10.1824011768453 -33.0194420311381)",0/0/0,"0","0","0",Y,N
"POINT (-10.0647496967343 -34.1659672392788)",0/0/1,"0","0","1",Y,N
"POINT (-10.5722658854485 -33.8060921236451)",0/0/2,"0","0","2",Y,N
"POINT (-10.7014518243939 -33.160162428918)",0/0/3,"0","0","3",Y,N
"POINT (-11.05209937296 -17.214926536226)",0/0/4,"0","0","4",Y,N
"POINT (-10.7891137115354 0.598891687640745)",0/0/5,"0","0","5",Y,N
"POINT (-10.4130903535336 0.896480725568588)",0/0/6,"0","0","6",Y,N
"POINT (-4.53743702328381 1.3186419189081)",0/0/7,"0","0","7",Y,N
"POINT (-0.334280224023867 -4.29171885815018)",0/0/8,"0","0","8",Y,N
"POINT (-0.336587115790752 -4.55009073604102)",0/0/9,"0","0","9",Y,N
"POINT (-0.447317920601111 -4.66774221615204)",0/0/10,"0","0","10",Y,N
"POINT (-4.29521338776115 -6.0057394409439)",0/0/11,"0","0","11",Y,N
"POINT (-5.21797009451415 -6.5593934649957)",0/0/12,"0","0","12",Y,N
"POINT (-5.7531689844309 -7.2975988303981)",0/0/13,"0","0","13",Y,N
"POINT (-10.1316495579739 -14.9426381458468)",0/0/14,"0","0","14",Y,N
"POINT (-10.1824011768453 -33.0194420311381)",0/0/15,"0","0","15",Y,N
